Код;Товар;Группа;Штук за 24 мес;Нет литража в названии;Нет коробкоместа (fBASEUNITQUANTITY)
7001;Բաժակ պլ. 170մլ հաստ պատ;;533930;;ДА
178;Մեկանգամյա օգտագործման  թղթե բաժակ  /180մլ;29;296410;;ДА
7000;Բաժակ պլ. 170մլ բարակ պատ;;281800;;ДА
157/2;Անձեռոցիկ AURA 180 x 140 մմ քառաշերտ 500 թերթ;037;129929;ДА;
2803;Գառնի կրիստալլայն 10լ;20;84300;;ДА
2901;Գառնի կրիստալլայն 19լ;20;62349;;ДА
167;Պատառաքաղ/մեկանգամյա օգտագործման;29;61150;ДА;
169;Փոքր գդալ/մեկանգամյա օգտագործման;29;59550;ДА;ДА
2902;19լ/ նոր օգտագործման տարայով;20;54196;;ДА
171;Պլաստմասե ափսե մեծ;29;46250;ДА;ДА
170;Մեծ գդալ/մեկանգամյա օգտագործման;29;32300;ДА;ДА
074/62;Շաքարավազ Lavazza;25;21900;ДА;ДА
179;Մեկանգամյա օգտագործման  թղթե բաժակ /100մլ;29;20400;;ДА
166/1;Մեկանգամյա օգտագործման  թղթե բաժակ /300մլ;29;19850;;ДА
485;Շաքարավազ Lizar 4գ․սպիտակ/100հատ;;17100;ДА;ДА
168;Դանակ/մեկանգամյա օգտագործման;29;14400;ДА;
157/3;Անձեռոցիկ AURA  քառաշերտ 500 թերթ վարդագույն;037;14105;ДА;
404;Միանգ․ օգտ․ թղթե բաժակ 350 մլ;041;8850;;ДА
313/3;Սուրճ լուծվող խոշոր GOLD Ipnosi;;7000;ДА;ДА
086;Երկշերտ դիսպենսերի թղթե սրբիչ /200հատ Silksoft;27;3911;ДА;ДА
1122;Միքս/կոլա, նարինջ,Մուլտի;101;2814;ДА;
189;ԼԵԴ լամպ 12w 4000K/նետրալ;033;2703;ДА;ДА
4002;Ապակե շիշ նոր;;2559;ДА;ДА
190;ԼԵԴ լամպ 15w 4000K/նետրալ;033;2226;ДА;ДА
